"Enabling 'Use for Shopping Cart', as Shopping Cart is enabled and there should be at least one Tax Rule for Shopping Cart","'Use for Shopping Cart' wird aktiviert, da der Warenkorb aktiv ist und mindestens eine Steuerregel fuer den Warenkorb vorhanden sein muss.",""
" Items)"," Positionen)",""
"<p class=""alert alert-warning"">Redisearch is not loaded. If you want to use the advanced product search feature, refer <a class=""alert-link"" href=""https://docs.erpnext.com/docs/v13/user/manual/en/setting-up/articles/installing-redisearch"" target=""_blank"">here</a>.</p>","<p class=""alert alert-warning"">Redisearch ist nicht geladen. Wenn Sie die erweiterte Produktsuche nutzen moechten, lesen Sie <a class=""alert-link"" href=""https://docs.erpnext.com/docs/v13/user/manual/en/setting-up/articles/installing-redisearch"" target=""_blank"">hier</a> weiter.</p>",""
"Add Section with Tabs","Abschnitt mit Tabs hinzufuegen",""
"Add Selected to Cart","Auswahl in den Warenkorb legen",""
"Add Selected to Quote","Auswahl zum Angebot hinzufuegen",""
"Add a new address","Neue Adresse hinzufügen",""
"Add note","Notiz hinzufügen",""
"Add to Quote","Zum Angebot hinzufuegen",""
"Add-ons","Zusaetze",""
"Advanced Display Content","Erweiterte Anzeigeinhalte",""
"Allow Non Website Items in Cart Quotation","Nicht-Website-Artikel im Warenkorbangebot erlauben",""
"Already Published","Bereits veroeffentlicht",""
"Available on backorder","Auf Rueckstand verfuegbar",""
"Cannot Merge","Zusammenfuehren nicht moeglich",""
"Choose {0}","{0} auswählen",""
"Choose product variant(s) above","Wählen Sie oben Produktvarianten aus",""
"Clear Values","Werte loeschen",""
"Continue Selection","Auswahl fortsetzen",""
"Continue Shopping","Weiter einkaufen",""
"Coupons","Gutscheine",""
"Customer Reviews","Kundenbewertungen",""
"Display Additional Information","Zusaetzliche Informationen anzeigen",""
"Display Images","Bilder anzeigen",""
"Display Information","Informationen anzeigen",""
"Display Settings","Anzeigeeinstellungen",""
"DocType {} not found","DocType {} nicht gefunden",""
"Enable Field Filters (Categories)","Feldfilter (Kategorien) aktivieren",""
"Enable Recommendations","Empfehlungen aktivieren",""
"Enable Redisearch","Redisearch aktivieren",""
"Enable Reviews and Ratings","Bewertungen und Rezensionen aktivieren",""
"Enable Variant Selection","Variantenauswahl aktivieren",""
"Enable Wishlist","Wunschliste aktivieren",""
"Enter Sales Partner","Vertriebspartner eingeben",""
"Enter coupon code","Gutscheincode eingeben",""
"Empty Cart","Warenkorb leeren",""
"Export Cart","Warenkorb exportieren",""
"Export Cart (.csv)","Warenkorb exportieren (.csv)",""
